Brand,Price,Transmisson,Make Year,Mileage,Engine,Fuel,Kilometer Run
Tata,2400000.0,Manual-2WD,2017.0,15.0,1200.0,Petrol,29000.0
Hyundai,1075000.0,Manual-2WD,2013.0,22.0,814.0,Petrol,45000.0
Mahindra,2650000.0,Auto-2WD,2015.0,15.0,2179.0,Diesel,155000.0
Ford,1200000.0,Manual-2WD,2013.0,15.0,1200.0,Petrol,56000.0
Maruti Suzuki,1800000.0,Auto-2WD,2014.0,,1000.0,Petrol,
Hyundai,1300000.0,Manual-2WD,2010.0,12.0,1100.0,Petrol,75000.0
Toyota,875000.0,Auto-4WD,1997.0,,2800.0,Diesel,
Hyundai,1025000.0,Manual-2WD,2006.0,18.0,1100.0,Petrol,100000.0
Maruti Suzuki,1100000.0,Manual-2WD,2017.0,,1300.0,Petrol,72256.0
Mahindra,1700000.0,Auto-4WD,2015.0,,,Diesel,
Mahindra,895000.0,Auto-2WD,2014.0,12.0,5223.0,Diesel,9800.0
Hyundai,1275000.0,Manual-2WD,2008.0,14.0,1200.0,Petrol,62000.0
Tata,3600000.0,Auto-2WD,2021.0,,2010.0,Electric,25000.0
Maruti Suzuki,2550000.0,Auto-2WD,2018.0,15.0,800.0,Petrol,
Hyundai,1035000.0,Manual-2WD,2006.0,15.0,1086.0,Petrol,68500.0
Ford,2300000.0,Auto-2WD,2018.0,16.0,1200.0,Petrol,47000.0
Hyundai,1485000.0,Manual-2WD,2010.0,14.0,1200.0,Petrol,46374.0
Kia,2000000.0,Auto-4WD,2006.0,12.0,2000.0,Diesel,54000.0
Hyundai,2050000.0,Auto-4WD,2009.0,16.0,1991.0,Diesel,85000.0
Hyundai,2700000.0,Manual-2WD,2010.0,10.0,2000.0,Petrol,50000.0
Kia,5500000.0,Auto-2WD,2019.0,,,Electric,46000.0
Other Brands,2300000.0,Manual-4WD,2016.0,18.0,2500.0,Diesel,60965.0
Other Brands,4499999.0,Manual-4WD,2017.0,,2499.0,Diesel,56000.0
Ford,1770000.0,Manual-2WD,2015.0,,1500.0,Petrol,75000.0
Toyota,24000000.0,Auto-4WD,2017.0,,3000.0,Diesel,78564.0
Maruti Suzuki,400000.0,Auto-2WD,2003.0,14.0,796.0,Petrol,70000.0
Toyota,2050000.0,Manual-2WD,2009.0,18.0,,Petrol,77000.0
Ford,985000.0,Manual-2WD,2012.0,12.0,1200.0,Petrol,52000.0
Ford,1800000.0,Manual-2WD,2016.0,,,Petrol,50000.0
Maruti Suzuki,2490000.0,Manual-2WD,2016.0,18.0,1300.0,Petrol,47000.0
Maruti Suzuki,699000.0,Manual-2WD,2004.0,,800.0,Petrol,69000.0
Maruti Suzuki,1375000.0,Manual-2WD,2009.0,13.0,1298.0,Petrol,
Hyundai,775000.0,Manual-2WD,2003.0,,1100.0,Petrol,80000.0
Ford,2150000.0,Auto-2WD,2015.0,14.0,1500.0,Petrol,42000.0
Hyundai,1400000.0,Auto-2WD,2012.0,,,Petrol,
Hyundai,2400000.0,Manual-2WD,2016.0,,1200.0,Petrol,30000.0
Mahindra,1500000.0,Auto-4WD,2020.0,,1200.0,Diesel,
Tata,1050000.0,Auto-2WD,2021.0,18.0,800.0,Diesel,30000.0
Hyundai,1750000.0,Manual-2WD,2014.0,,,Petrol,
Hyundai,1450000.0,Manual-2WD,2010.0,12.0,1200.0,Petrol,53000.0
Other Brands,4500000.0,Manual-4WD,2020.0,11.0,2500.0,Diesel,55000.0
Chevrolet,575000.0,Manual-2WD,2012.0,,1000.0,Petrol,25000.0
Tata,900000.0,Manual-2WD,2017.0,10.0,2900.0,Diesel,1700000.0
Kia,600000.0,Auto-2WD,2004.0,,1300.0,Petrol,45000.0
Ssangyong,11000000.0,Auto-4WD,2017.0,,2157.0,Diesel,35000.0
Nissan,1450000.0,Manual-2WD,2017.0,12.0,1200.0,Petrol,40000.0
Ford,3450000.0,Manual-2WD,2021.0,16.0,1497.0,Petrol,30000.0
Ford,1600000.0,Manual-4WD,2017.0,,1656.0,Diesel,70000.0
Maruti Suzuki,2150000.0,Auto-4WD,2018.0,20.0,998.0,Petrol,38000.0
Toyota,7000000.0,Manual-4WD,2008.0,6.0,3000.0,Diesel,110000.0
Kia,2450000.0,Auto-4WD,2010.0,10.0,1998.0,Petrol,56000.0
Tata,1600000.0,Manual-4WD,2016.0,,2523.0,Diesel,
Honda,1775000.0,Manual-2WD,2014.0,,1200.0,Petrol,57000.0
Nissan,425000.0,Manual-2WD,1998.0,,2000.0,Diesel,
Maruti Suzuki,1250000.0,Manual-2WD,2014.0,17.0,800.0,Petrol,23000.0
Maruti Suzuki,2000000.0,Manual-2WD,2016.0,,1200.0,Petrol,49000.0
Toyota,3400000.0,Manual-4WD,1998.0,10.0,2800.0,Diesel,146000.0
Hyundai,2950000.0,Manual-2WD,2015.0,,1600.0,Petrol,
Tata,850000.0,Auto-2WD,2006.0,12.0,2950.0,Diesel,1500.0
Other Brands,1500000.0,Manual-2WD,2018.0,,2999.0,Diesel,35000.0
Tata,1300000.0,Manual-2WD,2014.0,,1248.0,Diesel,50000.0
Maruti Suzuki,3474000.0,Manual-2WD,2022.0,17.0,1197.0,Petrol,315.0
Hyundai,1125000.0,Auto-2WD,2008.0,14.0,1086.0,Petrol,76009.0
Datsun,1500000.0,Power-Steering,2017.0,,1200.0,Petrol,14000.0
Other Brands,4500000.0,Auto-2WD,2003.0,,2000.0,Petrol,62000.0
